,precision,recall,f1-score,support
corona,0.8914209115281502,0.7983193277310925,0.8423052564914504,833.0
web2,0.8441558441558441,0.9182643794147326,0.8796520057999033,991.0
macro avg,0.8677883778419971,0.8582918535729125,0.8609786311456769,1824.0
weighted avg,0.8657412614371659,0.8634868421052632,0.8625961712747162,1824.0
