,precision,recall,f1-score,support
corona,0.8331539289558665,0.7930327868852459,0.8125984251968505,976.0
web2,0.8085308056872038,0.8462301587301587,0.8269510421715948,1008.0
macro avg,0.8208423673215351,0.8196314728077023,0.8197747336842227,1984.0
weighted avg,0.8206437937467878,0.8200604838709677,0.8198904805953092,1984.0
