epoch,duration,f1_test,f1_train,last_is_best,loss_test,loss_train,max_record_id
1,0 days,0.7870472554147121,0.7672650671007276,False,0.44087486305544454,0.4717741481238796,10
2,0 days,0.8037151241883403,0.8012559334057336,False,0.42069187327738733,0.42194769044797265,10
3,0 days,0.7966475015691328,0.8066590096384271,False,0.4222885134720033,0.4025043350674452,10
4,0 days,0.7963244054209828,0.8142259588068778,False,0.41801259306169325,0.3842934327380311,10
5,0 days,0.7401481504230548,0.819773741882957,False,0.4975341628155401,0.3754625170822105,10
6,0 days,0.7961944247955444,0.8285961149457383,False,0.4267806338687097,0.35967551448172136,10
7,0 days,0.8059586746207793,0.8332714955355817,False,0.4247586628602397,0.3444882465766803,10
8,0 days,0.806830953795463,0.8479006952318651,False,0.4237390807078731,0.3263770978777639,10
9,0 days,0.7889844460802644,0.850259008765393,False,0.4572031221562816,0.3119285167345116,10
10,0 days,0.7857056424131477,0.8602406915801655,False,0.4803642419076735,0.2981728077415497,10
11,0 days,0.8198904805953092,0.8645016693487798,False,0.46249518735754874,0.2873073061026873,10
12,0 days,0.7898317384794514,0.8700559463730048,False,0.4573086966429987,0.27228946500127355,10
13,0 days,0.7996845196959441,0.8781308314300323,False,0.4760560518310916,0.2546460045982272,10
14,0 days,0.7996578738538632,0.8801522972883115,False,0.49029032549550455,0.245116897347954,10
15,0 days,0.8039429592256028,0.8935094784697365,False,0.4942923644858022,0.23112863423903623,10
16,0 days,0.8061488886856883,0.8930171878878708,False,0.500101380530865,0.22517402249298268,10
17,0 days,0.8049497753569109,0.8998133877093453,False,0.498055663680838,0.21678368512901566,10
18,0 days,0.8109943857297714,0.9013293265043282,False,0.5326604299968288,0.20475087651321966,10
19,0 days,0.8012465818721561,0.9087604149231271,False,0.513299812712977,0.1971504350282973,10
20,0 days,0.8084845903300526,0.9148134898924788,False,0.5292712106339393,0.1814729407609951,10
