,precision,recall,f1-score,support
corona,0.8736842105263158,0.8504098360655737,0.8618899273104881,976.0
web2,0.8588007736943907,0.8809523809523809,0.8697355533790401,1008.0
macro avg,0.8662424921103533,0.8656811085089773,0.8658127403447641,1984.0
weighted avg,0.8661224643939668,0.8659274193548387,0.8658760115227363,1984.0
