epoch,duration,f1_test,f1_train,last_is_best,loss_test,loss_train,max_record_id
1,0 days,0.894714128721778,0.869605988427315,False,0.27024589611157296,0.3391960303194542,17
2,0 days,0.8974154198509366,0.9030453247478528,False,0.2597683332459901,0.2615214768837002,17
3,0 days,0.9065143469908054,0.9128962931137121,False,0.24716894552912763,0.23255457311251107,17
4,0 days,0.904310925506445,0.9233129607491917,False,0.2426021266928924,0.2030477361693819,17
5,0 days,0.9172305889544982,0.9327189876564829,False,0.235935548019986,0.1832525790594319,17
6,0 days,0.9046238896326174,0.940367171637234,False,0.263318509944985,0.1614074054856431,17
7,0 days,0.9077507483871394,0.9477449987335609,False,0.2609877710340805,0.14369764404600477,17
8,0 days,0.9137938018447206,0.9510008164514638,False,0.2552576317421852,0.1326036165919115,17
9,0 days,0.9201666999601862,0.9601171757225232,False,0.2600301437740845,0.10887445323044723,17
10,0 days,0.9172114922375637,0.9647136512088795,False,0.25918611234194167,0.09889556527421635,17
11,0 days,0.9193235247439308,0.9658960782404908,False,0.26797156282249956,0.09164244553477648,17
12,0 days,0.914672405636203,0.9703344494379553,False,0.28721730315917604,0.08308326158134695,17
13,0 days,0.9178921820596414,0.9755100294750007,False,0.2917021155277247,0.06891001178758507,17
14,0 days,0.9150689110990549,0.9771742225139753,False,0.33492017254704026,0.06517873540518178,17
15,0 days,0.911137629440605,0.9767710890878152,False,0.33675458430442756,0.0615581338689787,17
16,0 days,0.9145151566224747,0.9797736976950788,False,0.35200544273460743,0.05528139200262018,17
17,0 days,0.9186287106375899,0.9789375525906951,False,0.33685702193648587,0.0566833953259209,17
18,0 days,0.9205613512596147,0.9820325539446751,False,0.35105700647678745,0.04724689593079828,17
19,0 days,0.9108997585932253,0.9813632055636119,False,0.3578052058295217,0.054080810889671434,17
20,0 days,0.9203724837860846,0.9849571783984932,False,0.3586777749281096,0.04181207221186282,17
