,precision,recall,f1-score,support
corona,0.9638009049773756,0.9770642201834863,0.9703872437357632,218.0
web2,0.9937733499377335,0.9900744416873449,0.9919204474829086,806.0
macro avg,0.9787871274575546,0.9835693309354157,0.9811538456093359,1024.0
weighted avg,0.9873924973973448,0.9873046875,0.9873362302789266,1024.0
