,precision,recall,f1-score,support
corona,0.8294491525423728,0.8055555555555556,0.8173277661795407,972.0
web2,0.8182692307692307,0.8409090909090909,0.8294346978557505,1012.0
macro avg,0.8238591916558018,0.8232323232323233,0.8233812320176457,1984.0
weighted avg,0.8237464908314758,0.8235887096774194,0.8235032776998655,1984.0
