epoch,duration,f1_test,f1_train,loss_test,loss_train
1,0 days 01:19:06.828820,0.7913619185222122,0.729860867909039,0.454754162665699,0.5426011120949202
2,0 days 01:19:44.136802,0.8069625946116418,0.7846282620836053,0.43799000236084984,0.44846607513271314
3,0 days 01:22:08.857371,0.8058443618989288,0.8185424437551645,0.4277351937619067,0.40121889401557564
4,0 days 01:23:40.471678,0.8218989447933708,0.8364532579247221,0.4124460081025187,0.371166375464259
5,0 days 01:22:20.615254,0.820655853533837,0.8536308872366039,0.4272921915117867,0.33053702378749605
