,precision,recall,f1-score,support
corona,0.9596367305751766,0.9733879222108496,0.9664634146341464,977.0
web2,0.973816717019134,0.9602780536246276,0.967,1007.0
macro avg,0.9667267237971553,0.9668329879177386,0.9667317073170731,1984.0
weighted avg,0.9668339313559554,0.9667338709677419,0.9667357641620772,1984.0
