epoch,duration,f1_test,f1_train,last_is_best,loss_test,loss_train,max_record_id
1,0 days,0.7806051644555129,0.8032767998170235,True,0.41152696503746894,0.4121659840326233,9
2,0 days,0.8168307556189153,0.8283011372801449,True,0.37651102316956364,0.3544132205018078,9
3,0 days,0.8184547532225674,0.8455056873018691,True,0.3680254490144791,0.33193872605701047,9
4,0 days,0.8306095341995975,0.8506494488170322,True,0.34721931526737826,0.3153473391650192,9
5,0 days,0.8318169428047407,0.8557958873700996,True,0.35045060707676795,0.3009942388498639,9
6,0 days,0.8356533107096148,0.868975111135596,True,0.3593192295201363,0.28344988550646716,9
7,0 days,0.8158951119776603,0.8709838707156969,True,0.37312771235742875,0.2717872398744625,9
8,0 days,0.8352143541634149,0.8827811688088594,True,0.35967444844784274,0.2531023762791032,9
9,0 days,0.8065144778877328,0.8901857585388039,True,0.3901397480118659,0.23702963085538412,9
10,0 days,0.8381450076997533,0.8890558055082467,True,0.3722419601774985,0.23585329997731022,9
