epoch,duration,f1_test,f1_train,last_is_best,loss_test,loss_train,max_record_id
1,0 days,0.6797277743299419,0.6544546179821775,False,0.6955050435804185,0.7361717774317815,8
2,0 days,0.6825174357960607,0.696803283469174,False,0.6970216447398776,0.6615898606516201,8
3,0 days,0.658998995342026,0.7147809375182583,False,0.7577435995141665,0.6260934020640582,8
4,0 days,0.6788495854860523,0.7338357909853447,False,0.6885651715454602,0.5969771522389361,8
5,0 days,0.6961902975271976,0.7458683584028459,False,0.6753635764831588,0.5735204255087136,8
6,0 days,0.7839351711429577,0.7969855134275842,False,0.3961553107346258,0.4155376822235115,8
7,0 days,0.82800702091318,0.8306767085235929,False,0.3687202764614936,0.35633007218560064,8
8,0 days,0.8242319778721843,0.8382277205434812,False,0.36262753221296495,0.33706171349828024,8
9,0 days,0.8364895630879599,0.8517768078546167,False,0.3498755097389221,0.31418517351629266,8
10,0 days,0.8345717164215197,0.8598097944418802,False,0.35744349826728145,0.2985078006623739,8
