,precision,recall,f1-score,support
corona,0.8152866242038217,0.7860798362333674,0.8004168837936425,977.0
web2,0.7994241842610365,0.8272095332671301,0.813079551000488,1007.0
macro avg,0.8073554042324291,0.8066446847502488,0.8067482173970653,1984.0
weighted avg,0.8072354765110875,0.8069556451612904,0.8068439532882461,1984.0
