,precision,recall,f1-score,support
corona,0.7075962539021852,0.7061266874350987,0.7068607068607069,963.0
web1,0.5582329317269076,0.5413826679649465,0.5496786950074147,1027.0
web2,0.6506378802747792,0.6724137931034483,0.6613466334164589,986.0
macro avg,0.6388223553012906,0.6399743828344978,0.6392953450948601,2976.0
weighted avg,0.6371805656392038,0.6381048387096774,0.6375385285712716,2976.0
