,precision,recall,f1-score,support
corona,0.8734693877551021,0.8898128898128899,0.8815653964984552,962.0
web1,0.8642220019821606,0.8466019417475729,0.855321235899951,1030.0
web2,0.9118541033434651,0.9146341463414634,0.91324200913242,984.0
macro avg,0.8831818310269094,0.8836829926339753,0.8833762138436088,2976.0
weighted avg,0.8829605681290335,0.8830645161290323,0.8829559547697462,2976.0
