,precision,recall,f1-score,support
corona,0.9697916666666667,0.9538934426229508,0.9617768595041322,976.0
web2,0.9560546875,0.9712301587301587,0.9635826771653544,1008.0
macro avg,0.9629231770833333,0.9625618006765548,0.9626797683347432,1984.0
weighted avg,0.9628123949932796,0.9627016129032258,0.9626943313803983,1984.0
