epoch,duration,f1_test,f1_train,last_is_best,loss_test,loss_train,max_record_id
1,0 days,0.6060168705924066,0.6369823623609654,False,0.7940315713164627,0.7611632570025109,7
2,0 days,0.6442354314326929,0.6679125066303186,False,0.729736808166709,0.7005916584592722,7
3,0 days,0.6302487202251684,0.6831801850965412,False,0.7698973173736244,0.6728748438665119,7
4,0 days,0.6481237739831548,0.6955976279019437,False,0.7565773074985832,0.6511695754112571,7
5,0 days,0.6615526352851462,0.7102053713459652,False,0.7286792051407599,0.6216330310934031,7
6,0 days,0.6625878353698296,0.7289003472477527,False,0.7513430650516223,0.5919865325852309,7
7,0 days,0.6558350799423955,0.7407976576086571,False,0.727246904244987,0.5685449861809012,7
8,0 days,0.6756038136886064,0.7616256695017146,False,0.734899869849605,0.5342599056041912,7
9,0 days,0.6530483702899917,0.7742953566162352,False,0.7695280153264281,0.505921098685776,7
10,0 days,0.6678121138128813,0.7906041446423367,False,0.7887348567926755,0.47501289341149316,7
