epoch,duration,f1_test,f1_train,last_is_best,loss_test,loss_train,max_record_id
1,0 days,0.8285045570943242,0.8051658349235346,False,0.41195402526727287,0.4625974123411,11
2,0 days,0.8216291677830317,0.8370126199672465,False,0.41507108573631574,0.3920031598305957,11
3,0 days,0.8258660642209746,0.8462799370144314,False,0.4008942590926283,0.36385547485262315,11
4,0 days,0.83904017829499,0.8575348009089616,False,0.38300367468787777,0.3347032526358564,11
5,0 days,0.841026023803363,0.8674103256896206,False,0.3862372301919486,0.3108531761575829,11
6,0 days,0.8342160238026043,0.8730342296041945,False,0.39034398773344614,0.2976628984200126,11
7,0 days,0.8183067573471468,0.8836139731985496,False,0.4315987363137225,0.27739696222591526,11
8,0 days,0.8459260144704733,0.8889263234231469,False,0.3906390929734835,0.26210314768520904,11
9,0 days,0.8437859334325513,0.8967395321029638,False,0.41574734801887187,0.2430711353825216,11
10,0 days,0.8479273305460697,0.900945503162026,False,0.4254033194594486,0.2327825986645757,11
11,0 days,0.8513928525136557,0.9083421217756679,False,0.4294822076635976,0.21852278799057645,11
12,0 days,0.8547570432309628,0.9091501520546529,False,0.4204399769985548,0.20971355108135842,11
13,0 days,0.8446211261434168,0.9167152693106738,False,0.4645900578107885,0.19935808116121884,11
14,0 days,0.8336715245728294,0.9180215653300444,False,0.4932156746746391,0.18981745659826912,11
15,0 days,0.8477343157574272,0.9215123264292491,False,0.46454990086376025,0.18508042933987104,11
16,0 days,0.8507012502457151,0.9237677415463849,False,0.4830415197598037,0.17841961726366995,11
17,0 days,0.846487811314931,0.9296645813176182,False,0.4994383963846391,0.16554475950206665,11
18,0 days,0.8496889927938835,0.9287219221078878,False,0.5147894556003232,0.1628923816407189,11
19,0 days,0.8475854319203268,0.9320989165863097,False,0.536429400806145,0.15786815441168725,11
20,0 days,0.8527999155160773,0.9314053750666255,False,0.5053559036184383,0.1576227013863384,11
