,precision,recall,f1-score,support
corona,0.7841726618705036,0.7956204379562044,0.7898550724637681,685.0
web1,0.7134083930399181,0.6866995073891625,0.6997991967871485,1015.0
web2,0.687007874015748,0.7064777327935222,0.6966067864271457,988.0
macro avg,0.7281963096420566,0.7295992260462963,0.7287536852260207,2688.0
weighted avg,0.721737935954007,0.7217261904761905,0.721575302963786,2688.0
