epoch,duration,f1_test,f1_train,loss_test,loss_train
1,0 days 00:16:59.430345,0.8316175268032537,0.8054072113970162,0.3600477285720595,0.41579551560230155
2,0 days 00:18:15.015057,0.8389220022839535,0.842844692713942,0.3479278775315788,0.35001887199537923
3,0 days 00:17:11.853237,0.8410863340334106,0.853184358265885,0.36534345880824715,0.3254800722306172
4,0 days 00:16:55.017660,0.8532989991127565,0.8675442495992336,0.33230971930614067,0.3053814353010996
5,0 days 00:17:51.172639,0.8563305511989436,0.8742260407219261,0.32106182443436665,0.2872431061729598
