epoch,duration,f1_test,f1_train,last_is_best,loss_test,loss_train,max_record_id
1,0 days,0.6399276925340819,0.6398938923561158,False,0.7620571229768835,0.7630083186193534,7
2,0 days,0.6474607711563848,0.6745305935761796,False,0.7284264140155005,0.7030033499083221,7
3,0 days,0.6607403609967369,0.6903004759907804,False,0.7195789331327314,0.6769365991357219,7
4,0 days,0.6643503033338418,0.7010219104057789,False,0.7241042638602464,0.6513499303400355,7
5,0 days,0.6694096766306025,0.7144849096213348,False,0.7096928322444791,0.6349338184850326,7
6,0 days,0.6675283254699005,0.7218811896186604,False,0.725506464748279,0.611498272515894,7
7,0 days,0.6687801565456242,0.7360045067768527,False,0.7158084048525147,0.5890542026457748,7
8,0 days,0.6742159562554169,0.7469273039318409,False,0.7458461885866912,0.5671438840508138,7
9,0 days,0.6650261515850767,0.757130217543359,False,0.7669813053115554,0.5468920531473186,7
10,0 days,0.6600407666549699,0.775581223553127,False,0.7621767482031947,0.5166266451117792,7
11,0 days,0.6626417431304473,0.7864238349779215,False,0.7771402176307596,0.4969195692035241,7
12,0 days,0.66325768862144,0.7986282416093361,False,0.8037965398119844,0.47009051043974354,7
13,0 days,0.6586436881969501,0.8098604035338883,False,0.8312932955829994,0.44293633963518997,7
14,0 days,0.6555222553719264,0.8210574082533278,False,0.8577534540191941,0.4185272634513979,7
15,0 days,0.6577120004265362,0.8371887170210727,False,0.8764594705856364,0.3914359091581691,7
16,0 days,0.6636687996475529,0.8431988816884392,False,0.8859644305446873,0.37499893321415917,7
17,0 days,0.6643896893977075,0.8562663942331937,False,0.8898883251392323,0.3550393453579608,7
18,0 days,0.6620037380440328,0.8595848749751919,False,0.9478376190299573,0.34058329428679895,7
19,0 days,0.6584697954021111,0.8672929084467067,False,0.9396152930415195,0.3243028115491234,7
20,0 days,0.6618023017538536,0.8753894905078002,False,1.02822022723115,0.31074752454673693,7
