epoch,duration,f1_test,f1_train,loss_test,loss_train
1,0 days 00:23:34.162259,0.5907981263839952,0.548857020943021,0.7427600134071703,0.8120456365687546
2,0 days 00:23:26.689001,0.5677652212277229,0.5947918028998642,0.7438569164856271,0.7563353053529732
3,0 days 00:23:16.414762,0.6040434331202662,0.6101838762270417,0.7135928711380197,0.7286649179938468
4,0 days 00:23:48.724708,0.6255409902724592,0.6363597794586086,0.727173662877384,0.6993809293143899
5,0 days 00:22:41.877045,0.628049567530363,0.6505765801322081,0.7110073007486332,0.6752873354205866
