,precision,recall,f1-score,support
corona,0.9137254901960784,0.9748953974895398,0.9433198380566801,239.0
web1,0.875615763546798,0.7926421404682275,0.8320655354008192,897.0
web2,0.7866354044548651,0.8558673469387755,0.8197923029932804,784.0
macro avg,0.8586588860659138,0.8744682949655141,0.8650592254835932,1920.0
weighted avg,0.8440259839327889,0.8411458333333334,0.8409028083837569,1920.0
