,precision,recall,f1-score,support
corona,0.909181636726547,0.9479708636836629,0.9281711665817626,961.0
web1,0.9437869822485208,0.9309338521400778,0.9373163565132224,1028.0
web2,0.8979166666666667,0.8733535967578521,0.8854648176682075,987.0
macro avg,0.9169617618805782,0.9174194375271977,0.9169841135877309,2976.0
weighted avg,0.9173993012922349,0.9173387096774194,0.9171664921435442,2976.0
