epoch,duration,f1_test,f1_train,last_is_best,loss_test,loss_train,max_record_id
1,0 days 00:00:00.000999,0.8528504249478632,0.8308539555169274,False,0.3622395891335703,0.42533024521992807,17
2,0 days 00:00:00,0.8580802726979413,0.8691514391174843,False,0.36239444784900193,0.34068188276440703,17
3,0 days 00:00:00,0.8699081916726742,0.8865526112482943,False,0.33257193118333817,0.29314609782341966,17
4,0 days 00:00:00,0.8713672201183946,0.8973619018874568,False,0.3344619683520768,0.2654354172474879,17
5,0 days 00:00:00,0.8752304127897067,0.904358297440065,False,0.324010710602486,0.24131394715551385,17
6,0 days 00:00:00,0.8723181166387292,0.915626595186091,False,0.3458990896100639,0.22568023055393427,17
7,0 days 00:00:00,0.8814762850807598,0.9251226763843159,False,0.33377495944820423,0.19612110149175088,17
8,0 days 00:00:00,0.8713437618852748,0.9319960557400366,False,0.36115926468083936,0.17840391480398768,17
9,0 days 00:00:00,0.857953815990466,0.9381035567957899,False,0.4295913432874987,0.16228566980636852,17
10,0 days 00:00:00,0.8793531590666505,0.9397851106119113,False,0.37180048611856276,0.1529546864081752,17
11,0 days 00:00:00,0.8757879188881738,0.9483092913377742,False,0.4103646006395099,0.1339982620136623,17
12,0 days 00:00:00,0.8801029293217428,0.9525073204416901,False,0.4142950314187234,0.12736114025374945,17
13,0 days 00:00:00,0.8795547824403162,0.9603737614237048,False,0.4296349883480098,0.10646065203024742,17
14,0 days 00:00:00,0.8858458605813757,0.9621943970384585,False,0.42158834580131754,0.10080696425505262,17
15,0 days 00:00:00,0.8760748852191622,0.9624487436265227,False,0.49377532503617705,0.09759546911971455,17
16,0 days 00:00:00,0.8808920303210873,0.9641380275138368,False,0.46964211613740975,0.0944470419252122,17
17,0 days 00:00:00,0.8786577515024504,0.9694656767288964,False,0.526415191050018,0.08047097453718038,17
18,0 days 00:00:00,0.8863052206284823,0.9690753381621899,False,0.48792091680951016,0.08172991684573219,17
19,0 days 00:00:00,0.8783247893442543,0.9720915105878156,False,0.49591600195935337,0.07065689321831467,17
20,0 days 00:00:00,0.8699670794063034,0.9750961933421218,False,0.5289952573917245,0.06756324971618907,17
