,precision,recall,f1-score,support
corona,0.8905325443786982,0.840782122905028,0.864942528735632,716.0
web2,0.888235294117647,0.9244897959183673,0.9059999999999999,980.0
macro avg,0.8893839192481726,0.8826359594116977,0.885471264367816,1696.0
weighted avg,0.8892051238269116,0.8891509433962265,0.8886667751030144,1696.0
