,precision,recall,f1-score,support
corona,0.6283185840707964,0.47333333333333333,0.5399239543726236,150.0
web2,0.9239653512993262,0.9580838323353293,0.9407153356197943,1002.0
macro avg,0.7761419676850614,0.7157085828343314,0.740319644996209,1152.0
weighted avg,0.8854696784831114,0.8949652777777778,0.8885289578532356,1152.0
