epoch,duration,f1_test,f1_train,last_is_best,loss_test,loss_train,max_record_id
1,0 days,0.6087158418918573,0.5776006585633675,True,0.8072097391210576,0.8523084060712294,9
2,0 days,0.6166935342670012,0.6083532955307215,True,0.808606852767288,0.7990167150522935,9
3,0 days,0.5746741364083964,0.6336467827743573,True,0.8298425914779786,0.7728968245141646,9
4,0 days,0.6119008422027448,0.6475280637894749,True,0.8017208614657002,0.7484224013147507,9
5,0 days,0.6190576473680384,0.6613373673260733,True,0.7958534500932181,0.7281101007353176,9
6,0 days,0.8616227027883396,0.84512400719414,True,0.28248780665712225,0.3250558916996751,9
7,0 days,0.8770933048700776,0.8656032929812646,True,0.25326002906594014,0.2888070223852992,9
8,0 days,0.8850446481337022,0.8814012638475529,True,0.25478350515994763,0.2727138456474576,9
9,0 days,0.887189072783585,0.8812891320612182,True,0.2916879836055968,0.2669665938657191,9
10,0 days,0.8885289578532356,0.8904543685774843,True,0.2547873887750838,0.2494356034634014,9
