,precision,recall,f1-score,support
corona,0.8378378378378378,0.6788321167883211,0.75,137.0
web2,0.9577329490874159,0.9822660098522168,0.9698443579766537,1015.0
macro avg,0.8977853934626269,0.830549063320269,0.8599221789883269,1152.0
weighted avg,0.9434745895030476,0.9461805555555556,0.9436996730436663,1152.0
