,precision,recall,f1-score,support
corona,0.7822685788787483,0.7547169811320755,0.7682458386683738,795.0
web1,0.6474820143884892,0.6237623762376238,0.6354009077155823,1010.0
web2,0.604089219330855,0.6429277942631059,0.6229036895064686,1011.0
macro avg,0.6779466041993641,0.6738023838776016,0.6755168119634748,2816.0
weighted avg,0.6699554529419295,0.6676136363636364,0.6684183198242667,2816.0
