,precision,recall,f1-score,support
corona,0.8918099089989889,0.8972533062054934,0.8945233265720081,983.0
web2,0.8984924623115578,0.8931068931068931,0.8957915831663327,1001.0
macro avg,0.8951511856552734,0.8951800996561932,0.8951574548691703,1984.0
weighted avg,0.8951814996571953,0.8951612903225806,0.8951632080492858,1984.0
