,precision,recall,f1-score,support
corona,0.8722966014418125,0.8642857142857143,0.8682726806765761,980.0
web2,0.8687068114511353,0.8764940239043825,0.872583044124938,1004.0
macro avg,0.870501706446474,0.8703898690950485,0.8704278624007571,1984.0
weighted avg,0.870479994007014,0.8704637096774194,0.8704539331474205,1984.0
