epoch,duration,f1_test,f1_train,last_is_best,loss_test,loss_train,max_record_id
1,0 days,0.5591666188485267,0.5985611208614128,True,0.8365613770755854,0.8203393057115355,19
2,0 days,0.6273140355748584,0.6432347331541138,True,0.7603143948045644,0.7482190717212202,19
3,0 days,0.602863840725157,0.6580492727832093,True,0.7933340567079458,0.7130759579601774,19
4,0 days,0.6378974681294252,0.6780601641760654,True,0.7405456724491987,0.6858051725723926,19
5,0 days,0.6635098480936161,0.6990292052925999,True,0.7264589477669109,0.6480003624901217,19
6,0 days,0.6618454533429254,0.7188492323443322,True,0.7474455532025207,0.6143962336498346,19
7,0 days,0.6651664077138991,0.7357805835049829,True,0.7519072853028774,0.5864612112301942,19
8,0 days,0.6646531162006707,0.7553627845486659,True,0.7593926618045027,0.5510844738557724,19
9,0 days,0.6349756668382056,0.7752924823040229,True,0.8253031471236185,0.510422464301836,19
10,0 days,0.6641384948441099,0.7879604457823278,True,0.8023439246145162,0.4830842816373782,19
11,0 days,0.6626454327919418,0.8062053325046052,True,0.8213593126697973,0.45300206601113163,19
12,0 days,0.6694828523114644,0.8150172369960113,True,0.8247175521471284,0.4251115747197154,19
13,0 days,0.660552406287312,0.8352960510169855,True,0.8645028946074572,0.3929618705517847,19
14,0 days,0.6718975165564257,0.8400690431322477,True,0.8580600080842321,0.37844468872709247,19
15,0 days,0.6636961068669854,0.8537329453864718,True,0.9228344915265386,0.3537885226710322,19
16,0 days,0.6632790277507392,0.8608774007764111,True,0.9305674430321563,0.3311566375512577,19
17,0 days,0.6662901288253505,0.8707018394653266,True,0.9725455584173853,0.3089884417421757,19
18,0 days,0.6651370682583362,0.8771114073655241,True,1.0004253092814575,0.29712027459070295,19
19,0 days,0.674783067569189,0.8829960637284415,True,1.0354097035120835,0.27917045755865894,19
20,0 days,0.6761667354151331,0.8913846376801442,True,1.0423733829097315,0.2655071173781376,19
