epoch,duration,f1_test,f1_train,last_is_best,loss_test,loss_train,max_record_id
1,0 days,0.6530151986300481,0.6374075403591981,True,0.7342333187980037,0.7599023297708731,4
2,0 days,0.6493774549824708,0.6679784814912365,True,0.7281102765631932,0.6978038250601004,4
3,0 days,0.6556978492774773,0.6871806345319205,True,0.7288387565202611,0.6707321917563277,4
4,0 days,0.6623072608412326,0.6997195070177731,True,0.7240054806073507,0.6479344902505184,4
5,0 days,0.670088713571932,0.7136091653383091,True,0.7210672145248741,0.6207489438414894,4
