,text,label,span
idx,,,
f18d382c-05ca-47cb-b7cc-d60d7e66bf68,"Unterstützend ließen sie außerdem einen Virus los, der ebenfalls gezielt Rechner der iranischen Ölbranche attackierte, berichtete die Nachrichtenagentur 'AP' unter Berufung auf halboffizielle Stellen im Iran.""",web2,"[40, 45]"
980866dd-e337-4668-980f-64adc69298e1,Wo kommen die Viren vor?,web2,"[14, 19]"
984d3027-9ead-4846-a9b1-56a36fdcd7fd,Akabane-Virus und ähnliche Viren werden hauptsächlich durch Gnitzen übertragen.,web2,"[8, 13]"
f4bcec00-9c90-451f-83b8-de2fb138b299,"In ""Virus Auto"" analysiert er sowohl für autokritische als auch für autoliebende Leser facettenreich unsere autovernarrte Gesellschaft und erzählt Neues, Interessantes und Amüsantes.",web2,"[4, 9]"
f5badc56-efb8-4dd9-81db-99bc1222523b,"Ihr besonderes Interesse gilt der Untersuchung der Influenza A Viren, die weltweit für schwere Infektionskrankheiten verantwortlich sind.",web2,"[63, 68]"
783ae075-8c66-4df6-a1ad-5415f4aa759c,"Probleme mit dem Internetzugang, Viren, Trojaner der Hardwareschäden – Computer können aus vielen Gründen ihren Dienst versagen.",web2,"[33, 38]"
c4a780f6-1763-4182-b1ff-864b860d1e69,"Die Nager scheiden das Virus in ihrem Urin, Kot und Speichel aus.",web2,"[23, 28]"
e6f86411-303e-45fb-8ca4-efbaf11743b7,"Was passiert im menschlichen Körper, wenn Bakterien, Viren oder Pilze über die Haut und die Schleimhäute in ihn eindringen?",web2,"[53, 58]"
6a3dabfc-fa5d-4087-b785-c3bbac5141b6,Als “offen wie ein Scheunentor für Angriffe durch Hacker oder Viren” bezeichnen Anwender die gängigen Automatisierungsgeräte.,web2,"[62, 67]"
c0b5f71c-1000-42ee-9baa-573035328b11,"Sie haben die Eigenschaft Viren, Bakterien und Pilze abzuwehren.",web2,"[26, 31]"
c4a69a29-00a8-4219-b121-4f555a033a71,Zink umschließt Viren,web2,"[16, 21]"
66017949-3ca5-4523-a98f-5d8cfdd23c99,"Ferner sieht das BKA derzeit keine Gefahr von Terrorangriffen mit Bakterien, Viren oder Gift.",web2,"[77, 82]"
02d0fa03-0462-41df-a525-13a0e66deaac,Viren- und Spywareentfernung Nicht alle Viren lassen sich mit herkömmlichen Virenprogrammen entfernen.,web2,"[0, 5]"
3cb2d292-05b2-4ca7-9a55-4419a0a0a3d4,Bis zu diesem Zeitpunkt breitet sich der Virus über die ganze Welt aus.,web2,"[41, 46]"
2a000fa8-b3d3-4fd4-ad63-65307e1f1c84,"Gegen die Viren ist kein Kraut gewachsen, aber mit diversen Mitteln lassen sich zumindest die Symptome mildern.",web2,"[10, 15]"
c41c2b7f-85c1-42cb-ad12-0bef7f516a52,ich war gestern auf devi aber der virus hat mich zum glück verschont!! also ich werde devi erstmal missen müssen weil ich hab keinen bock den virus acuh zu haben... es muss wohl ein ziemlich moderner virus sein wenn das virenschutzprogramm den nicht stoppen kann...müssen wohl profis am werk gewesen sein!,web2,"[34, 39]"
e8489dba-3f67-4abb-9203-3293767eeed3,Viren als Gedächtnisstütze:,web2,"[0, 5]"
dee6d84d-490c-4100-8cc2-2800c4a1466d,"Neben klassischen Fächern wie Marktforschung, Strategische Planung und Werbepsychologie werden auch Online-Marketing, Text, Fernsehwerbung, Business Knigge, Virus Marketing, Leadership oder Global Advertising angeboten.",web2,"[157, 162]"
5dfd1871-1651-4310-b426-0a0f294b345b,Beide Viren können dabei Tumorerkrankungen auslösen.,web2,"[6, 11]"
c55722d3-1b18-4534-accc-b29e430db734,Am Ende werden die Bausteine zu neuen Viren zusammengesetzt und verpackt.,web2,"[38, 43]"
a6a72bd6-1a3c-443a-9d44-47fd4ee0f30e,Mehr als 600 Millionen Menschen sind weltweit mit dem Hepatitis B oder C Virus infiziert; in der Region ist etwa 1% der Bevölkerung betroffen.,web2,"[73, 78]"
d0cb74c9-5a27-4b2a-89a4-44dd10414441,"Mit dem Situationsupdate mit Stand zum 20.08.2010 hat die WHO mitgeteilt, dass zur Zeit lokal intensiv Teile von Indien und Neuseeland von Influenza A/H1N1 Virus Infektionen betroffen sind.",web2,"[156, 161]"
5c8a0700-d5f6-4d07-a0c1-a5797fcb9f53,"Auf Basis von aufwendigen Blutproben langjährig Infizierter konnte sie jetzt den Nachweis erbringen, dass sich die Viren systematisch an das Immunsystem angepasst haben – und zwar schnell und bei jedem Patienten individuell.",web2,"[115, 120]"
3314b656-4bca-4b11-a4bb-76db8762166c,"Der Drohnenflotte machte ein Virus zu schaffen, der das Bodenkontrollsystem befallen hatte.",web2,"[29, 34]"
594987a8-a1ad-494b-a81e-47d6d4a47a61,"Phisingsites, Viren und Codeinjektion sind nur einige der Gefahren vor denen Sie Ihre Computer schützen müssen. …weiterlesen",web2,"[14, 19]"
43b11317-c731-412d-a601-b4926425c53e,"So fies, diese Viren - gut, dass sie sich verzogen haben!",web2,"[15, 20]"
57c97bce-70a5-4ac5-81de-e4ebd44b13a2,"Alljährlich wird der Großteil der us-amerikanischen Honigbienen zur Bestäubung dieser Monstrosität herangekarrt und weil die armen Tiere unfähig sind sich an eine derart unnatürliche Umgebung anzupassen, muss der Mensch sie künstlich füttern und vorsorglich mit Gift gegen Viren, Bakterien und Parasiten behandeln.",web2,"[273, 278]"
2d1379be-16a3-4c78-b4d8-d81b632068d2,"Viren, Trojaner, Bots, Keylogger und was es da draussen sonst noch alles gibt, werden immer für populäre Betriebssysteme, Spiele und Kodierungsverfahren programmiert.",web2,"[0, 5]"
059f1c64-04ea-4a54-afd8-a5825f28d3d8,"Das Virus wurde nachfolgend in die Russische Förderation, nach Kasachstan und Turkmenistan verschleppt.",web2,"[4, 9]"
e97d4210-8a9a-4be3-99f0-b3a82d2577d8,"Zugelassene Produkte für dieses Special sind: Virus A, Virus B/KB, Virus Classic, Virus Rack, Virus Indigo, Virus Indigo Redback, Virus C/KC, Virus Rack XL, Virus Indigo 2, Virus TDM, Indigo TDM, Virus for TC PowerCore",web2,"[46, 51]"
f43b52c8-31a9-4935-a7b5-1ae6ad0b00c7,"Werden diese mit dem Epstein-Barr-Virus* (EBV) infiziert, übernimmt das Virus die Steuerung der Zellen und aktiviert – ebenfalls über TNIK – die unkontrollierte Zellteilung, was zur Entstehung EBV-induzierter Karzinome und Lymphome führt.",web2,"[34, 39]"
08a9f4d9-cff4-4a8f-9f8a-4859b0e7ca0a,"Im Verlauf der Simulation muss man seine Epidemie weiter verbreiten, und das hervorrufende Bakterium, die Viren o.ä. erweitern.",web2,"[106, 111]"
6e40e630-e952-4035-a3d0-062d99746b32,"Oft kann das Immunsystem Viren, Bakterien oder Parasiten aufgrund verschiedener Ungleichgewichte im Körper nicht effektiv bekämpfen.",web2,"[25, 30]"
039539e0-3c52-4890-8e4b-f7238c68457f,"Der aktuelle Ausbruch biete die einmalige Chance, in Deutschland die komplexen biotischen Interaktionen zwischen Viren, Stechmücken und Vögeln unter Einbeziehung ökologischer Rahmenbedingungen zu untersuchen, so Schmidt-Chanasit.",web2,"[113, 118]"
6cd52583-1709-4589-96eb-4c922d188fc4,Am Ende hole ich mir einen Virus o.ä.,web2,"[27, 32]"
2ed5e12f-0222-4903-b889-6fdf86a5774a,Wir möchten an dieser Stelle über die Ausbreitung des COVID 19 Virus in unseren Destinationen und den besonderen Stornobedingungen informieren. Weiterlesen ...,web2,"[63, 68]"
ba20d0a6-a0f6-4dd4-832f-b1eba37843ad,"Schlagwörter: Android, Antivirensoftware, App, AVG, böswillig, Berechtigung, Bluetooth, Computer, Daten, Firewall, Funktion, Hersteller, installieren, Linux, Market, Opfer, Ports, Progammierer, Provider, Quelle, Schadprogramme, Schädlinge, Script, Sicherheit, Trojaner, Viren, Windows, WLAN, Zugriff You can comment below, or link to this permanent URL from your own site.",web2,"[270, 275]"
eaa1f5d3-3249-4f7b-b112-67ae404188ce,Tödliche Viren: Wo endet die Freiheit der Forschung? – Schweiz – Tagesschau – Schweizer Fernsehen.,web2,"[9, 14]"
37d55598-c848-43a5-9919-444923b6a582,"LANDesk® Security Suite-Software bietet ein mehrschichtiges Sicherheitskonzept und damit Schutz von Data Leakage, Viren, Malware, Spyware und anderen bösartigen Angriffen.",web2,"[114, 119]"
f6dc8bca-a689-4e0b-a6b5-24ae3c3b3960,WordPress Anti Virus Plugin,web2,"[15, 20]"
b5dc332e-9ec6-4050-934b-2045c7430ff1,Eingeschleppt wurde das Virus offenbar durch kontaminierte Ebersperma-Lieferungen aus einer deutschen Zuchtstation.,web2,"[24, 29]"
c619d3bf-d923-47e0-b1cc-b87f49457a5b,"Tag 5 mir auf der Festplatte einen Virus gefangen habe, den ich immer emsig per Backup sichere.",web2,"[35, 40]"
bc9ac573-2b17-4633-8c6a-2ef3f6ed4e4f,Dann kann ich gezielt “just in time” kommen und die Kids müssen sich nicht noch die Viren und Bakterien der anderen im Wartezimmer reinziehen.,web2,"[84, 89]"
c45d03de-00ad-490e-baef-10d619ff5698,"Michael Nassal und seine Mitarbeiter haben entdeckt, dass sich besonders die Proteinhüllen von Viren, die so genannten Kapside, als Trägerpartikel eignen.",web2,"[95, 100]"
f6e8cfc2-8d7b-453c-9436-313886de99f6,mir kam es vor wie ein virus…,web2,"[23, 28]"
d3f3f03f-b981-4e03-8a6b-0fbf5eada545,Laut Informationen durch facebook Nutzern handelt es sich um ein Virus der sich ueber facebook verbreitet und eigentstaendig dann Freunde anschreibt.,web2,"[65, 70]"
3287e49d-7a52-468c-ad40-3527cf98eb3b,"Mikroorgansimen, genannt Viren, haben mich außer Gefecht gesetzt.",web2,"[25, 30]"
b0cbdaab-423c-4125-ae48-f1d92032c493,Mein letzter Virus war aber auch der i-love-you Virus und seit dem habe ich nie Probleme gehabt.,web2,"[13, 18]"
2ee2569e-685b-4008-884b-6974f98bc464,Gegen Bakterien & Viren,web2,"[18, 23]"
a8343c6a-3247-4130-a90a-fccfcc036c57,"Damit hätten Immunologen und Impfstoffforscher in Zukunft die Chance, das Virus im lebenden Organismus zu untersuchen – und könnten dann die nächsten Schritte gegen diese Krankheit unternehmen.",web2,"[74, 79]"
f6f6f882-5835-4727-9f1d-2aa3a1bc90a5,Der kleine Sohn von Bekannten hat sich irgendeinen Virus eingefangen.,web2,"[51, 56]"
f33f40b6-c653-40f1-844b-ed1590496057,"Musste jedoch, obwohl ich keinen angegebenen Link geöffnet habe, heute morgen feststellen, mein Antivir hat Viren gefunden!!",web2,"[108, 113]"
b703bc9a-73bd-4382-a244-a384d31cb524,"Denn Thymian wirkt antibakteriell, löst Husten oder Schnupfen und verhindert darüber hinaus die Ausbreitung der Viren.",web2,"[112, 117]"
5f9b98be-48b3-4520-957c-a043f1c42bd7,Die Kehlkopfentzündung wird meistens von Viren ausgelöst.,web2,"[41, 46]"
f67d6577-64ae-48d5-8e77-bf8243e040dc,"RT @Martin_Moder: Sterben die Leute gar nicht AN dem Virus, sondern bloß MIT dem Virus? Nein.",web2,"[53, 58]"
5090dae8-4aeb-4f05-9fec-c0eba49bb5e7,"Ich überlege, ob dies wirklich das beste für meine momentane Erkältung ist, komme aber zum Schluss, dass mein Immunsystem zur Bekämpfung der fiesen Viren auch wach sein muss!",web2,"[148, 153]"
a8f72aa0-34f6-4e0f-8828-573db62e3dc4,Cookies richten auf Ihrem Rechner keinen Schaden an und enthalten keine Viren.,web2,"[72, 77]"
b971a59e-d9cf-4558-8bc9-7471202b7a74,Diese Viren stellen weltweit einen der häufigsten Erreger der infektiösen Durchfallerkrankung bei Kleinkindern dar.,web2,"[6, 11]"
c35328d8-47f7-49ef-a690-60b33e5e8fe5,"Genauso wie bei der normalen Grippe, wird die Sommergruppe durch Viren ausgelöst.",web2,"[65, 70]"
163784dc-7dc3-48de-98e9-1bb4a4a00016,Drück dich....mist.....hab ich mir jetzt den Virus geholt.....Yvonne,web2,"[45, 50]"
df31599e-80ec-49b6-b86a-b345e81d5b3d,Bei 47 % wurden die Daten ausgespäht oder sie wurden das Opfer von Viren oder Trojanern.,web2,"[67, 72]"
8bea7691-f9e3-45ef-beb2-6c2652501d47,"Bei Raumtemperatur sei das Virus noch nach 28 Tagen ansteckend, bei vier Grad Celsius sogar noch nach 150 Tagen.",web2,"[27, 32]"
970ec158-e327-4ef2-a549-d5033f0cffd8,Und schon jetzt verbreitete sich ein ansteckender Virus mit Stimmung und Spaß der fünften Jahreszeit.,web2,"[50, 55]"
567042f3-6137-4645-97ed-e569fe7165eb,Cookies richten auf Ihrem Rechner keinen Schaden an und enthalten keine Viren.,web2,"[72, 77]"
52a743c9-2b3c-408e-a7dc-ed1566a1f921,Smartphone vor Viren und Trojanern schützen,web2,"[15, 20]"
3140dd5c-8db6-452d-bace-b46ad705b84a,"Eine Resistenz, also eine erworbene Unempfindlichkeit gegenüber Medikamenten, bilden Viren zum Beispiel, indem sie ihre molekularen Angriffspunkte so verändern, dass die Wirkstoffe ihrer nicht mehr habhaft werden können.",web2,"[85, 90]"
5e003f30-924e-44df-b1e4-f019a772c819,"„Wir haben uns gefragt, warum trotz dieses Schutzmechanismus so viele Viren entstehen und wie es bei Infektionen mit bestimmten Viren wie etwa dem Hepatitis C-Virus zu einer Chronifizierung kommen kann“, sagt Erstautorin Dr. Alessia Ruggieri, Abteilung Molekulare Virologie des Departments für Infektiologie.",web2,"[159, 164]"
c97db56c-571d-47d8-b489-e0a484a7650c,mein avast zeigt kein virus an troz das es bei jeden scheiß meckert,web2,"[22, 27]"
301d3ecf-f8fe-4a89-bb6a-6147b25a502b,"Wichtig !!!!!!!! Sag bitte allen leuten in deiner liste,dass sie den kontakt mit einem gewissen Rebbi nicht annehmen sollen! das ist ein Virus der zerstört die ganze festplatte und zieht sich die daten runter, wenn ihn einer deiner kontakte erwischt, bist du auch betroffen, weil er sich durch die liste frisst!",web2,"[137, 142]"
c922258e-f28b-4df9-a0f3-53ea0304f44c,"Einer der wichtigsten Abwehrmechanismen gegen Viren, Bakterien und Krebszellen sind die zytotoxischen T-Zellen.",web2,"[46, 51]"
500a7511-a0f2-40e7-915a-03db6bc68591,"Nach der Begrüßung durch Bürgermeister Dirk Elkemann wird Achim Zehender unter dem Titel “Mit Software gegen Malware” aufzeigen, wie der Kampf gegen Viren, Würmer und Trojaner erfolgreich möglich ist und dabei auch eine Live-Schaltung ins Avira-Virenlabor wagen.",web2,"[149, 154]"
d2619da6-262c-4421-bd31-1db4cd3928a7,"[...] das ist genau der punkt ...nur fehlt da noch was...""und gehalten"" ich sag es mal so wir werden dazu gezwungen so zu leben wie wir leben... ich will kein krieg ...von mir aus muss keiner sterben... es soll auch keinen hunger geben ...aber warum gibt es in... ich will kein geld ...aber warum kann ich ohne geld nicht leben... ich will keine umweltverschmutung ...aber warum gibt es sie ...nicht weil jeder mensch auf der welt böse ist oder ein virus ist... nein wir werden gezwungen das mit zu machen oder zumindest zuzusehen... ob ich es will oder nicht.... versuche mal allein hier in der BRD-GmbH frei leben zu wollen ...das wirst du nicht können ...versuch mal ein hau auf einem boden zu bauen... wo auch immer du meinst das du da ein feld ,ein kuh, und so aufzubauen um davon leben zu können ...wirst gleich problme bekommen ....tja nix ists mit freiheit ... wir sind und bleiben sklaven...die nur das dürfen was die wollen... um ihr verdorbenes spiel weiter zu machen... und das heist allles [...]",web2,"[449, 454]"
e5443338-1ae7-423e-8839-edfcbe2203eb,"Weiterhin müssen die Eiweiße des Virus, welche die Hülle bilden und die genetische Substanz umgeben, im elektrischen Feld ihrer Größe nach aufgetrennt und fotografiert werden.",web2,"[33, 38]"
37bd1f07-e6b6-442c-aba8-e73e3289bbe0,Wären in den Dateien Viren drin dann würden sich das ja keiner Runterladen . Wieso sollten dort überhaupt Viren drin sein?,web2,"[21, 26]"
35b32e6f-a56a-45bd-984d-76e53eab21dd,Viren,web2,"[0, 5]"
bdd27b34-195d-40ca-aa92-3e3b36795008,"Dieses Zentrum widmet sich schwerpunktmäßig der Entwicklung von Interventionsstrategien gegen Infektionen mit Viren, z.B. Hepatitis- und Papillom-Viren und HIV, sowie Parasiten, z.B. dem Erreger der Malaria; hierbei werden neue Ansatzpunkte für Impfung und Therapie etabliert und klinisch erprobt.",web2,"[110, 115]"
08a338ff-8366-454e-b064-efaadcc7b6c7,"Computerviren legten als Übeltäter wieder zu: Waren Viren im Jahr 2005 mit vier Prozent „Schuldigkeit“ gelistet, so kamen sie dieses Jahr auf knapp sieben Prozent.",web2,"[52, 57]"
683e8848-9f61-4f15-adc8-dbe9af15e4aa,"Der Virus scheint besiegt, Sie können wieder klar denken, erkennen, was Ordnung ausmacht!",web2,"[4, 9]"
688ddb7e-2eeb-4baa-b8fc-9d8444f31e48,"Umfassende Security : Verschlüsselung, Schutz vor Viren und Schad-Software, Datensicherheit innerhalb mobiler Anwendungen",web2,"[50, 55]"
bdc80714-23d9-43a9-b4cf-4c94924db14c,Diese Eiweiße unterstützen die Vermehrung des Virus im gesamten oberen und unteren Atemtrakt.,web2,"[46, 51]"
fec04f93-4a29-490e-bc15-44b137966737,"Bisher aber konnte die Entstehung neuer Viren mikroskopisch und in Echtzeit nur visualisiert werden, wenn die Viren dafür genetisch verändert und auf diesem Weg markiert wurden.",web2,"[40, 45]"
6ac12f81-5eb7-4b77-b5d2-6aea14a1eef6,"Die Frauen sind, so heißt es, von einem Virus dahingerafft geworden.",web2,"[40, 45]"
05372168-3e95-40c5-aa61-f83150bd16c9,"Es gibt aber noch andere Viren, die zu einer Bronchiolitis führen können, z. B. Parainfluenza-Viren oder Adeno-Viren.",web2,"[25, 30]"
b22d3df4-b69e-495b-b950-fc91471800e4,"Daher kann es durchaus vorkommen, dass ein frischer Virus nicht sofort von einem AV-Produkt erkannt wird.",web2,"[52, 57]"
7dd67a57-960c-4416-97a2-6eee664e3b4d,"Microsoft schließt eine oft kritisierte Lücke und bietet ab sofort einen kostenlosen Schutz gegen Viren, Spyware und andere schädliche Software an.",web2,"[98, 103]"
1906309d-00f6-4767-af35-aa6e70b7e574,"(12) CDC, Neonatal Herpes Simplex Virus Infection Following Jewish Ritual Circumcisions that Included Direct Orogenital Suction — New York City, 2000–2011, June 8, 2012 / 61(22);405-409 http://www.cdc.gov/mmwr/preview/mmwrhtml/mm6122a2.htm",web2,"[34, 39]"
33dab64c-093a-4a2f-9db6-9cfdda22b92c,"Ich sage immer wir müssen eine kleine Brücke bauen..ich fühle mich abgesehen von dem letzten Virus (:)) sehr wohl in Marokko, aber ich weiß dass ich immer ab und an ein kleines Heimweh haben würde..dann muss ich sicher mal über die Brücke und meine Eltern besuchen;) auch wird sicherlich alles noch seine Zeit brauchen..aber der Gedanke ist da und wir beginnen den Weg einzuschlagen..dieses mal etwas langsamer und dafür vielleicht besonnener;)",web2,"[93, 98]"
49b7e28e-83a3-495f-ae50-d054758e4b21,Unmittelbar nach erfolgreich abgelegter Gesellenprüfung 1999 hatte ihn der Virus “Medienmanagement” gepackt und der gebürtige Duisburger entschloss sich zu einem Studium mit der Fachrichtung “Print Media Management” an der Hochschule der Medien in Stuttgart.,web2,"[75, 80]"
0d8a2185-183e-4c8e-abd5-b2f444e7acb6,"Einige Nutzer bekommen nun in den Suchergebnissen einen Hinweis angezeigt, dass der lokale Rechner möglicherweise mit Viren belastet ist.",web2,"[118, 123]"
15cc7a05-e5a9-4017-a0ed-f384b022d4d8,"Nachdem unserem dynamischem Duo schon bald klar wird, dass auch zwei Agenten des britischen Geheimdienstes (welche die Namen Gold & Silver tragen und ungefähr so britisch klingen wie ich) vor Ort sind, die den Virus ebenfalls suchen, wird Longdong und Hamill schnell klar, dass sie für ihren geliebten Faulenzerurlaub nicht so schnell etwas werden wird….",web2,"[210, 215]"
b4ea4b2b-5325-4f3e-91ca-3519162d4f52,"Die Kinderarztpraxen sind voll mit kleinen Patienten, deren Abwehrkräfte offensichtlich nicht ausreichen, um Viren und Erreger erfolgreich abwehren zu können.",web2,"[109, 114]"
be18cff4-2031-443a-9ce1-85c64f3963ca,"CCR5-trope Viren sind bei therapienaiven Patienten zu ca. 80-85 % und bei therapieerfahrenen Patienten zu ca. 50-60 % nachweisbar. Ausschließlich X4-trope Viren sind sehr selten (Brumme 2005, Melby 2006, Moyle 2005, Wilkin 2006, Hunt 2006, Coakley 2006).",web2,"[11, 16]"
4ccf6cc1-d25d-4218-861b-f2a6bac41579,"Während dessen versuchen die Wissenschaftler des amerikanischen Centers for Disease Control and Prevention Dr. Ellis Cheever (Laurence Fishburne), Dr. Erin Mears (Kate Winslet) und Dr. Ally Hextall (Jennifer Ehle) fieberhaft mehr über das Virus herauszufinden und ein Heilmittel zu entwickeln.",web2,"[239, 244]"
794c7767-ecf7-4a75-8faf-5b57206ea57e,"Der Wirkstoff auf der Basis von ungesättigtem Alkohol, der in den USA schon seit langem überaus erfolgreich ist, schützt also die gesunden Zellen und stoppt die Ausbreitung des Virus.",web2,"[177, 182]"
e765a0e1-8b0e-4307-bd8b-e1de62ebdb5a,"„Um einen Computer vor Viren, Datendiebstahl und anderen Arten von Malware zu schützen, ist Windows Defender besser als nichts“, erklärt Bitdefender Chief Security Strategist Catalin Cosoi.",web2,"[23, 28]"
23432c47-3688-4967-8b46-f34a08f72ee0,Neben der Übertragung bereits resistenter Viren bei der Ansteckung könnten eventuell auch andere Mechanismen eine Rolle spielen.,web2,"[42, 47]"
fa4beaa8-fc34-47e9-82aa-ae7197a31831,In Zeiten des Corona Virus bitte nicht,web2,"[21, 26]"
d4c227f0-310e-43cc-befd-c044ff3ea1b1,"„Wir haben nun die Bestätigung aus dem Labor, dass das Produkt keine schädlichen Bakterien oder Viren enthält.",web2,"[96, 101]"
648467db-3640-4a4f-b678-2042e8b37d00,"Bei dem Erreger scheint es sich um einen Virus zu handeln, der ähnlich wie bei Computerviren, quasi Huckepack, über ungefilterte Informationen den Patienten befällt.",web2,"[41, 46]"
