epoch,duration,f1_test,f1_train,last_is_best,loss_test,loss_train,max_record_id
1,0 days,0.6797277743299419,0.6544546179821775,True,0.6955050435804185,0.7361717774317815,14
2,0 days,0.6825174357960607,0.696803283469174,True,0.6970216447398776,0.6615898606516201,14
3,0 days,0.658998995342026,0.7147809375182583,True,0.7577435995141665,0.6260934020640582,14
4,0 days,0.6788495854860523,0.7338357909853447,True,0.6885651715454602,0.5969771522389361,14
5,0 days,0.6961902975271976,0.7458683584028459,True,0.6753635764831588,0.5735204255087136,14
6,0 days,0.7839351711429577,0.7969855134275842,True,0.3961553107346258,0.4155376822235115,14
7,0 days,0.82800702091318,0.8306767085235929,True,0.3687202764614936,0.35633007218560064,14
8,0 days,0.8242319778721843,0.8382277205434812,True,0.36262753221296495,0.33706171349828024,14
9,0 days,0.8364895630879599,0.8517768078546167,True,0.3498755097389221,0.31418517351629266,14
10,0 days,0.8345717164215197,0.8598097944418802,True,0.35744349826728145,0.2985078006623739,14
11,0 days,0.8299122073358629,0.8074941251414975,True,0.41247179014708407,0.4620218265024736,14
12,0 days,0.8225134173653796,0.8380651323485164,True,0.41427672357969386,0.3894361336441601,14
13,0 days,0.8301642461257123,0.8465988949096657,True,0.3982170837861235,0.3594108955625863,14
14,0 days,0.8237215972537818,0.859199192983086,True,0.40326714035003414,0.33303853612452905,14
15,0 days,0.8431757356810022,0.868294929486947,True,0.39217815075510293,0.31367469507264584,14
